loss,accuracy,AUC,Precision,Recall,f1_score,img_size,colour_mode,augment,batch_size,epochs,filter,dropout,duration
0.505,0.768,0.865,0.767,0.903,0.769,150.0,rgb,True,32.0,5.0,7.0,0.2,69.043
0.47,0.803,0.868,0.811,0.892,0.769,150.0,rgb,False,32.0,5.0,7.0,0.2,69.159
0.491,0.758,0.882,0.74,0.944,0.769,300.0,grayscale,True,32.0,5.0,7.0,0.2,249.589
0.707,0.659,0.748,0.647,0.997,0.769,300.0,grayscale,False,32.0,5.0,7.0,0.2,250.251
0.486,0.747,0.886,0.727,0.951,0.769,300.0,rgb,True,32.0,5.0,7.0,0.2,285.276
0.521,0.721,0.83,0.767,0.795,0.769,300.0,rgb,False,32.0,5.0,7.0,0.2,285.39
0.497,0.75,0.843,0.735,0.938,0.769,150.0,grayscale,True,32.0,5.0,7.0,0.5,57.711
0.636,0.641,0.763,0.637,0.99,0.769,150.0,grayscale,False,32.0,5.0,7.0,0.5,57.746
0.919,0.628,0.854,0.627,1.0,0.769,150.0,rgb,True,32.0,5.0,7.0,0.5,69.049
0.747,0.647,0.908,0.639,1.0,0.769,150.0,rgb,False,32.0,5.0,7.0,0.5,69.022
0.662,0.625,0.499,0.625,1.0,0.769,300.0,grayscale,True,32.0,5.0,7.0,0.5,249.63
0.726,0.647,0.624,0.641,0.99,0.769,300.0,grayscale,False,32.0,5.0,7.0,0.5,250.06
0.57,0.745,0.777,0.731,0.936,0.769,300.0,rgb,True,32.0,5.0,7.0,0.5,286.24
0.674,0.649,0.648,0.673,0.851,0.769,300.0,rgb,False,32.0,5.0,7.0,0.5,286.474
0.596,0.747,0.93,0.714,0.992,0.769,150.0,grayscale,True,64.0,5.0,3.0,0.2,57.954
0.555,0.691,0.863,0.673,0.982,0.769,150.0,grayscale,False,64.0,5.0,3.0,0.2,57.989
0.628,0.662,0.831,0.65,0.992,0.769,150.0,rgb,True,64.0,5.0,3.0,0.2,72.641
0.443,0.792,0.895,0.766,0.959,0.769,150.0,rgb,False,64.0,5.0,3.0,0.2,70.1098701953888
